id,web_name,first_name,second_name,team_short,position,element_type,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
100,Kroupi.Jr,Junior,Kroupi,BOU,FWD,4,True,False,100,100,560262,0,0,2,-2,0,0,5.3,2.0,2,2.0,False,,2026-03-27T12:00:09.305198Z,47,560262.jpg,3.4,False,7.6,False,,a,4,91,113,2414496,0,1611147,0,0.4,24.0,,73,2025-02-02,2006-06-23,False,p560262,1663,13,0,10,21,0,0,0,5,0,0,13,480,532.2,306.9,563.0,139.9,42,61,9,112,21,8.31,1.51,9.82,25.91,,,,,2,,[],,116,11,142,13,43,18,69,15,0.45,0.0,0.08,0.53,1.4,1.14,393,65,133,12,127,12,57,12,1.14,0.54,6.06
391,Gannon-Doak,Ben,Gannon-Doak,BOU,MID,3,True,False,100,100,496208,0,0,-2,2,0,0,0.3,1.0,1,1.0,False,,2025-11-20T10:30:09.618152Z,48,496208.jpg,1.4,False,0.0,False,,a,4,91,11,4944,0,8262,0,0.2,2.3,,243,2025-08-18,2005-11-11,False,p496208,105,0,1,0,1,0,0,0,0,0,0,0,33,32.4,17.8,39.0,8.9,1,6,6,13,0,0.26,0.13,0.39,4.74,,,,,,,[],,449,197,419,206,361,184,438,198,0.22,0.0,0.11,0.33,4.06,0.86,370,230,221,91,434,189,641,248,0.0,0.0,11.14
685,Diakité,Bafodé,Diakité,BOU,DEF,2,True,False,100,100,242882,0,0,-4,4,0,1,0.0,0.0,0,0.0,False,,2025-09-13T21:30:08.472990Z,41,242882.jpg,2.6,False,0.3,False,,a,4,91,46,99992,0,100202,0,0.0,11.2,,73,2025-08-13,2001-01-06,False,p242882,1275,0,0,4,27,0,0,0,1,0,0,2,164,267.0,54.3,22.0,34.4,97,48,20,117,15,0.02,0.19,0.21,22.47,,,,,,,[],,267,106,362,129,396,140,354,117,0.0,0.0,0.01,0.01,1.59,1.91,664,156,453,198,255,96,348,125,1.06,0.28,8.26
687,Rees-Dottin,Remy,Rees-Dottin,BOU,MID,3,True,False,,,606774,0,0,-2,2,0,0,0.0,0.0,0,0.0,False,,,43,606774.jpg,0.0,False,0.2,False,,a,4,91,0,28243,0,23995,0,0.0,0.0,,241,2024-12-28,2006-03-06,False,p606774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,668,250,664,254,641,244,670,252,0,0,0,0,0,0,626,372,503,157,678,259,405,139,0,0,0
697,Adli,Amine,Adli,BOU,MID,3,True,False,,,489888,0,0,-1,1,0,0,0.7,1.0,1,1.0,False,,,54,489888.jpg,2.2,False,0.2,False,,a,4,91,67,120446,0,101352,0,0.2,12.4,,145,2025-08-21,2000-05-10,False,p489888,1074,3,2,3,17,0,0,0,2,0,0,4,241,272.6,235.9,260.0,76.1,26,61,36,123,10,2.60,1.62,4.22,18.22,,,,,,,[],,266,112,175,113,136,75,215,102,0.22,0.0,0.14,0.36,1.53,1.42,169,105,259,114,327,139,374,130,0.84,0.25,10.31
713,A.Jimenez,Álex,Jiménez Sánchez,BOU,DEF,2,True,False,100,0,551483,0,0,0,0,0,0,0.0,0.0,0,0.0,False,,2026-05-08T14:00:11.002926Z,45,551483.jpg,2.4,False,0.1,False,,a,4,91,74,67165,0,54008,0,0.0,16.4,,200,2025-09-01,2005-05-08,False,p551483,2315,1,2,6,39,0,0,0,10,0,0,2,297,406.0,269.3,184.0,85.9,80,135,68,148,26,1.09,1.73,2.82,41.11,,,,,,,[],,180,73,161,42,205,55,185,64,0.04,0.0,0.07,0.11,1.6,1.52,466,94,593,237,290,114,431,161,1.01,0.23,5.75
721,Milosavljević,Veljko,Milosavljevic,BOU,DEF,2,True,False,100,100,620487,0,0,-1,1,0,0,0.0,0.0,0,0.0,False,,2026-01-06T17:00:10.479922Z,44,620487.jpg,2.7,False,0.0,False,,a,4,91,19,6785,0,6263,0,0.0,4.3,,190,2025-09-01,2007-06-28,False,p620487,367,0,0,1,6,0,0,0,0,0,0,0,63,98.4,13.9,10.0,12.2,34,13,5,39,4,0.15,0.19,0.34,4.42,,,,,,,[],,395,149,426,157,426,159,426,155,0.04,0.0,0.05,0.09,1.08,1.47,581,120,547,227,238,93,646,231,0.98,0.25,9.56
756,DaCosta,Malcom,DaCosta,BOU,MID,3,True,False,,,678552,0,0,0,0,0,0,0.0,0.0,0,0.0,False,,,45,678552.jpg,0.0,False,0.0,False,,a,4,91,0,2125,0,1465,0,0.0,0.0,,62,2025-12-01,2008-04-17,False,p678552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,781,336,774,335,762,333,781,336,0,0,0,0,0,0,525,328,649,254,781,336,740,311,0,0,0
782,Forster,Fraser,Forster,BOU,GKP,1,True,False,,,40383,0,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,40383.jpg,0.0,False,0.0,False,,a,4,91,0,3840,0,1698,0,0.0,0.0,,241,2026-01-02,1988-03-17,False,p40383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,580,66,566,50,535,35,583,66,0,0,0,0,0,0,672,39,372,50,591,66,651,81,0,0,0
799,Stevens,Charlie,Stevens,BOU,MID,3,True,False,,,658013,0,0,0,0,0,0,0.0,0.0,0,0.0,False,,,45,658013.jpg,0.0,False,0.0,False,,a,4,91,0,984,0,526,0,0.0,0.0,,244,2025-01-18,2007-05-31,False,p658013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,777,333,770,332,757,329,777,333,0,0,0,0,0,0,520,324,644,250,777,333,776,332,0,0,0
801,Tóth.A,Alex,Tóth,BOU,MID,3,True,False,,,614574,0,0,-1,1,0,0,0.3,1.0,1,1.0,False,,,49,614574.jpg,0.9,False,0.0,False,,a,4,91,8,1044,0,687,0,0.2,1.6,,98,2026-01-20,2005-10-23,False,p614574,135,0,0,0,3,0,0,0,1,0,0,0,32,18.6,60.2,18.0,9.6,8,8,1,17,2,0.11,0.33,0.44,4.90,,,,,,,[],,466,206,355,188,411,202,435,196,0.07,0.0,0.22,0.29,3.27,2.0,338,210,234,99,528,244,765,325,1.33,0.0,11.33
806,Mandas,Christos,Mandas,BOU,GKP,1,True,False,,,436416,0,0,0,0,0,0,0.0,0.0,0,0.0,False,,,40,436416.jpg,0.0,False,0.0,False,,a,4,91,0,877,0,564,0,0.0,0.0,,83,2026-01-27,2001-09-17,False,p436416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,592,72,583,61,552,46,595,72,0,0,0,0,0,0,693,50,389,59,603,72,754,87,0,0,0
807,Rayan,Rayan Vitor,Simplício Rocha,BOU,MID,3,True,False,,,499604,0,0,-1,1,0,0,6.7,2.0,2,2.0,False,,,54,499604.jpg,4.5,False,2.3,False,,a,4,91,67,594702,0,301140,0,0.4,12.4,Rayan,30,2026-01-27,2006-08-03,False,p499604,1110,5,2,6,10,0,0,0,1,0,0,3,238,277.6,211.9,263.0,75.3,28,43,11,82,13,2.67,1.84,4.51,19.14,,,,,,,[],,260,110,193,127,134,74,217,104,0.22,0.0,0.15,0.37,1.55,0.81,170,106,157,66,30,14,132,43,1.05,0.49,6.65
27,Nelson,Reiss,Nelson,BRE,MID,3,True,False,100,100,200641,0,0,-2,2,0,0,0.5,0.5,1,1.0,False,,2026-03-02T13:30:07.438484Z,48,200641.jpg,1.3,False,0.1,False,,a,5,94,13,11237,0,18925,0,0.2,2.7,,241,2025-09-01,1999-12-10,False,p200641,118,0,1,0,2,0,0,0,0,0,0,0,39,42.6,32.6,29.0,10.0,3,16,4,23,0,0.71,0.11,0.82,3.02,,,,,,,[],,437,191,393,198,382,192,433,194,0.54,0.0,0.08,0.62,2.3,1.53,349,220,218,89,447,197,497,178,0.0,0.0,17.54
83,O.Dango,Dango,Ouattara,BRE,MID,3,True,False,100,100,533463,0,0,-4,4,0,4,5.3,1.5,2,2.0,False,,2025-12-13T14:30:10.953675Z,56,533463.jpg,4.2,False,1.6,False,,a,5,94,136,1060175,0,888747,0,0.4,24.3,,35,2025-08-16,2002-02-11,False,p533463,2271,7,8,6,35,0,0,0,5,0,0,16,429,509.8,422.8,702.0,162.8,76,85,24,185,25,7.94,4.12,12.06,34.75,3,,,,,,[],,129,43,77,56,26,11,47,33,0.31,0.0,0.16,0.47,1.38,1.39,132,82,161,68,47,21,160,54,0.99,0.24,7.33
101,Kelleher,Caoimhín,Kelleher,BRE,GKP,1,True,False,100,100,200720,0,0,3,-3,0,5,3.3,5.5,6,6.0,False,,2025-08-09T14:00:04.798673Z,48,200720.jpg,3.9,False,12.0,False,,a,5,94,143,1717279,0,1447384,0,1.3,29.8,,104,2025-06-03,1998-11-23,False,p200720,3330,0,0,10,49,0,3,0,1,0,109,11,570,913.8,23.0,0.0,93.8,48,301,1,0,37,0.00,0.22,0.22,53.48,,,,,,,[],,12,3,409,5,775,87,166,3,0.0,2.95,0.01,0.01,1.45,1.32,350,12,39,3,71,6,33,4,1.0,0.27,0.0
102,Balcombe,Ellery,Balcombe,BRE,GKP,1,True,False,,,235448,0,0,-1,1,0,0,-0.5,-0.5,0,0.0,False,,,39,235448.jpg,0.0,False,0.2,False,,a,5,94,0,17279,0,26392,0,0.0,0.0,,241,2016-11-02,1999-10-15,False,p235448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,558,54,543,37,512,22,561,54,0,0,0,0,0,0,774,81,348,38,569,54,358,49,0,0,0
103,Cox,Matthew,Cox,BRE,GKP,1,True,False,0,0,503300,0,0,-1,1,0,0,0.0,0.0,0,0.0,False,has joined Shrewsbury Town on loan for the rest of the season.,2026-01-16T15:17:51.432656Z,39,503300.jpg,0.0,False,0.1,False,,u,5,94,0,11791,0,16383,0,0.0,0.0,,241,2021-10-26,2003-05-02,False,p503300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,568,60,554,44,523,29,571,60,0,0,0,0,0,0,788,88,359,44,579,60,451,66,0,0,0
104,Eyestone,Julian,Eyestone,BRE,GKP,1,True,False,,,535017,0,0,-1,1,0,0,-0.5,-0.5,0,0.0,False,,,39,535017.jpg,0.0,False,0.1,False,,a,5,94,0,13518,0,12014,0,0.0,0.0,,229,2024-08-08,2006-04-21,False,p535017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,571,61,557,45,526,30,574,61,0,0,0,0,0,0,791,89,362,45,582,61,485,69,0,0,0
105,Valdimarsson,Hákon Rafn,Valdimarsson,BRE,GKP,1,True,False,,,507433,0,0,-2,2,0,0,-0.5,-0.5,0,0.0,False,,,38,507433.jpg,1.0,False,1.0,False,,a,5,94,1,105071,0,91216,0,0.0,0.3,,99,2024-01-26,2001-10-13,False,p507433,90,0,0,0,3,0,0,0,0,0,1,0,1,13.0,0.0,0.0,1.3,0,7,0,0,1,0.00,0.00,0.00,0.97,,,,,,,[],,473,39,521,23,489,8,501,39,0.0,1.0,0.0,0.0,0.97,3.0,818,96,323,24,465,39,201,25,1.0,0.0,0.0
106,Collins,Nathan,Collins,BRE,DEF,2,True,False,,,432830,0,0,-1,1,0,2,2.5,2.5,3,3.0,False,,,49,432830.jpg,3.7,False,2.4,False,,a,5,94,129,746929,0,645720,0,0.6,26.3,,104,2023-07-04,2001-04-30,False,p432830,2971,1,2,9,44,1,0,0,7,0,0,7,450,848.6,143.8,325.0,131.9,287,139,32,319,32,2.24,1.71,3.95,47.52,,,,,,,[],,22,8,256,66,100,12,83,18,0.07,0.0,0.05,0.12,1.44,1.33,316,51,98,37,92,34,124,48,0.97,0.27,9.66
107,Lewis-Potter,Keane,Lewis-Potter,BRE,DEF,2,True,False,,,249231,0,0,-2,2,0,2,3.0,4.5,5,5.0,False,,,48,249231.jpg,3.2,False,1.5,False,,a,5,94,115,529325,0,395674,0,1.0,24.0,,241,2022-07-12,2001-02-22,False,p249231,1960,3,4,9,32,0,0,0,1,0,0,5,356,378.2,332.2,353.0,106.4,51,96,23,74,22,3.01,2.51,5.52,33.74,,,1,,,,[],,194,80,123,33,88,9,131,39,0.14,0.0,0.12,0.26,1.55,1.47,359,61,55,24,165,61,166,66,1.01,0.41,3.4
108,Ajer,Kristoffer,Ajer,BRE,DEF,2,True,False,100,100,191866,0,0,-1,1,0,0,1.0,-0.5,0,0.0,False,,2026-01-26T04:00:07.526158Z,44,191866.jpg,2.8,False,0.2,False,,a,5,94,76,44558,0,46039,0,0.0,17.3,,161,2021-07-21,1998-04-17,False,p191866,1805,0,2,5,32,0,0,0,4,0,0,1,211,401.4,59.1,165.0,62.7,155,59,37,192,20,0.69,0.73,1.42,31.51,,,,,,,[],,182,74,357,125,221,57,258,86,0.03,0.0,0.04,0.07,1.57,1.6,537,105,513,219,217,85,382,138,1.0,0.25,9.57
109,Henry,Rico,Henry,BRE,DEF,2,True,False,0,0,194010,0,0,-2,2,0,0,0.0,0.0,0,0.0,False,Hamstring injury - Expected back 01 Jun,2026-03-04T10:30:07.977466Z,43,194010.jpg,2.1,False,0.1,False,,i,5,94,52,26003,0,33298,0,0.0,12.1,,107,2016-08-31,1997-07-08,False,p194010,1322,0,2,4,22,0,0,0,2,0,0,0,144,151.6,82.0,35.0,26.9,53,72,15,68,14,0.18,0.54,0.72,23.91,,,,,,,[],https://www.brentfordfc.com/en/news/article/first-team-liverpool-v-brentford-premier-league-team-news?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,347,131,324,108,370,125,380,131,0.01,0.0,0.04,0.05,1.63,1.5,591,128,477,210,334,126,453,169,0.95,0.27,4.63
110,Kayode,Michael,Kayode,BRE,DEF,2,True,False,100,100,607464,0,0,1,-1,0,0,1.3,1.5,2,2.0,False,,2026-02-21T19:30:08.790968Z,46,607464.jpg,3.1,False,1.0,False,,a,5,94,113,298401,0,198389,0,0.4,24.6,,106,2025-07-01,2004-07-10,False,p607464,3258,1,2,10,49,1,0,0,8,0,0,9,494,613.8,470.2,130.0,121.7,151,163,68,219,37,1.28,2.89,4.17,52.65,,,,,,,[],,77,33,66,12,252,66,95,23,0.04,0.0,0.08,0.12,1.45,1.35,407,72,130,53,179,69,195,76,1.02,0.28,6.05
111,Pinnock,Ethan,Pinnock,BRE,DEF,2,True,False,100,100,231065,0,0,-3,3,0,1,-0.5,-0.5,0,0.0,False,,2025-08-18T08:00:05.393517Z,42,231065.jpg,3.5,False,0.1,False,,a,5,94,14,16875,0,30319,0,0.0,3.3,,107,2019-07-02,1993-05-29,False,p231065,318,0,0,1,5,1,0,0,1,0,0,2,53,88.6,1.2,33.0,12.3,37,11,5,42,4,0.01,0.06,0.07,3.70,,,,,,,[],,400,151,488,175,374,127,424,153,0.0,0.0,0.02,0.02,1.05,1.42,643,144,462,201,111,40,452,168,1.13,0.28,11.89
112,Roerslev,Mads,Roerslev Rasmussen,BRE,DEF,2,True,False,0,0,226956,0,0,0,0,0,0,0.0,0.0,0,0.0,False,Has joined Southampton permanently.,2025-08-22T14:17:15.662878Z,45,226956.jpg,0.0,False,0.0,False,,u,5,94,0,211,0,3940,0,0.0,0.0,,58,2019-10-27,1999-06-24,False,p226956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,706,262,701,262,683,262,708,262,0,0,0,0,0,0,425,84,561,234,712,262,727,252,0,0,0
113,Van den Berg,Sepp,van den Berg,BRE,DEF,2,True,False,100,100,444765,0,0,-1,1,0,0,2.0,3.5,4,4.0,False,,2025-12-27T22:00:11.195580Z,44,444765.jpg,3.5,False,1.0,False,,a,5,94,113,360666,0,292925,0,0.9,25.7,,152,2024-08-22,2001-12-20,False,p444765,2761,0,3,8,41,0,0,0,2,0,0,3,435,659.0,98.0,305.0,106.3,249,109,23,272,30,3.36,1.45,4.81,41.59,,,,,,,[],,63,28,300,95,112,16,132,40,0.11,0.0,0.05,0.16,1.36,1.34,551,116,68,27,112,41,196,77,0.98,0.26,8.87
114,Arthur,Benjamin,Arthur,BRE,DEF,2,True,False,0,0,622536,0,0,-2,2,0,0,0.0,0.0,0,0.0,False,has joined Celtic on loan for the rest of the season.,2026-02-06T22:48:24.603753Z,38,622536.jpg,0.0,False,0.2,False,,u,5,94,0,12981,0,31968,0,0.0,0.0,,241,2024-03-08,2005-10-09,False,p622536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,548,201,530,200,499,196,551,201,0,0,0,0,0,0,831,260,334,132,559,201,403,150,0,0,0
115,Fredrick,Benjamin,Fredrick,BRE,DEF,2,True,False,0,0,612534,0,0,0,0,0,0,0.0,0.0,0,0.0,False,has joined Dender on loan for the rest of the season.,2025-09-22T21:16:59.169077Z,40,612534.jpg,0.0,False,0.1,False,,u,5,94,0,2020,0,14548,0,0.0,0.0,,,,,False,p612534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,635,244,627,243,597,240,638,244,0,0,0,0,0,0,745,204,438,184,645,243,540,192,0,0,0
116,Hickey,Aaron,Hickey,BRE,DEF,2,True,False,100,100,472713,0,0,0,0,0,0,0.3,0.5,1,1.0,False,,2026-02-21T19:30:08.807049Z,40,472713.jpg,1.8,False,0.3,False,,a,5,94,37,68336,0,85750,0,0.2,9.2,,243,2022-07-09,2002-06-10,False,p472713,679,0,0,2,9,0,0,0,1,0,0,0,105,101.4,17.1,43.0,16.0,36,35,15,51,8,0.44,0.17,0.61,9.03,,,,,,,[],,393,147,421,154,355,117,412,148,0.06,0.0,0.02,0.08,1.2,1.19,702,175,189,70,375,138,306,113,1.06,0.27,6.76
117,Ji-soo,Kim,Ji-soo,BRE,DEF,2,True,False,0,0,570241,0,0,-1,1,0,0,0.0,0.0,0,0.0,False,has joined Kaiserslautern on loan for the rest of the season.,2025-09-22T21:16:59.154227Z,39,570241.jpg,0.0,False,0.1,False,,u,5,94,0,4108,0,15883,0,0.0,0.0,,114,2023-07-20,2004-12-24,False,p570241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,576,209,562,208,531,204,579,209,0,0,0,0,0,0,796,230,367,142,587,209,533,190,0,0,0
118,Meghoma,Jayden,Meghoma,BRE,DEF,2,True,False,0,0,499717,0,0,0,0,0,0,0.0,0.0,0,0.0,False,Has joined Rangers on loan for the rest of the season.,2025-08-19T13:37:28.261506Z,40,499717.jpg,0.0,False,0.0,False,,u,5,94,0,279,0,11084,0,0.0,0.0,,241,2024-08-30,2006-06-28,False,p499717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,610,226,601,225,570,221,613,226,0,0,0,0,0,0,715,182,410,164,620,225,620,220,0,0,0
120,Schade,Kevin,Schade,BRE,MID,3,True,False,100,100,513418,0,0,-2,2,0,1,1.5,6.5,7,7.0,False,,2026-02-02T00:30:10.303430Z,68,513418.jpg,3.6,False,1.3,False,,a,5,94,125,969326,0,862088,0,1.0,18.4,,80,2023-07-01,2001-11-27,False,p513418,2744,8,5,11,34,0,0,1,6,1,0,5,385,536.8,380.1,821.0,172.8,54,94,42,190,32,12.08,2.05,14.13,40.05,,,,,3,,[],,112,34,104,74,12,7,37,28,0.4,0.0,0.07,0.47,1.31,1.12,45,29,26,12,107,48,175,61,1.05,0.36,6.23
121,Damsgaard,Mikkel,Damsgaard,BRE,MID,3,True,False,100,100,440089,0,0,-4,4,0,2,4.3,0.5,1,1.0,False,,2026-03-20T14:00:08.942254Z,56,440089.jpg,3.4,False,0.8,False,,a,5,94,113,214963,0,244417,0,0.2,20.2,,58,2022-08-10,2000-07-03,False,p440089,2046,4,4,5,32,0,0,0,0,0,0,9,467,530.6,691.3,326.0,155.0,45,139,57,241,24,2.61,5.43,8.04,31.55,,,3,,,,[],,119,36,29,27,99,59,55,36,0.11,0.0,0.24,0.35,1.39,1.41,129,80,266,118,139,60,224,77,1.06,0.22,10.6
122,Milambo,Antoni,Milambo,BRE,MID,3,True,False,0,0,543295,0,0,-3,3,0,0,0.0,0.0,0,0.0,False,Knee injury - Expected back 01 Jun,2025-10-16T08:00:09.362049Z,52,543295.jpg,1.0,False,0.0,False,,i,5,94,1,2221,0,7078,0,0.0,0.2,,152,2025-07-03,2005-04-03,False,p543295,45,0,0,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0,2,2,4,1,0.00,0.01,0.01,1.49,,,,,,,[],https://www.brentfordfc.com/en/news/article/first-team-brentford-v-sunderland-premier-league-injury-update?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,500,226,482,232,816,363,511,232,0.0,0.0,0.02,0.02,2.98,6.0,217,134,752,321,517,239,656,258,2.0,0.0,8.0
123,Carvalho,Fábio,Freitas Gouveia Carvalho,BRE,MID,3,True,False,0,0,244858,0,0,-4,4,0,0,0.0,0.0,0,0.0,False,Knee injury - Expected back 01 Jun,2025-11-28T19:00:08.330112Z,46,244858.jpg,2.2,False,0.1,False,,i,5,94,13,27411,0,51815,0,0.0,2.8,Fábio Carvalho,173,2024-08-12,2002-08-30,False,p244858,100,1,0,0,4,0,0,0,0,0,0,1,42,39.0,6.5,36.0,8.1,0,5,3,8,1,0.70,0.03,0.73,2.08,,,,,4,,[],https://www.brentfordfc.com/en/news/article/first-team-brentford-v-fulham-premier-league-injury-update-aaron-hickey-jordan-henderson?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,441,193,455,218,368,188,445,200,0.63,0.0,0.03,0.66,1.87,3.6,401,248,653,256,318,132,474,166,0.9,0.0,7.2
124,Henderson,Jordan,Henderson,BRE,MID,3,True,False,100,100,56979,0,0,0,0,0,0,-0.3,-0.5,0,0.0,False,,2026-04-11T20:30:08.727460Z,50,56979.jpg,2.4,False,0.3,False,,a,5,94,76,101717,0,109214,0,0.0,15.2,,241,2025-07-15,1990-06-17,False,p56979,1911,1,3,6,28,0,0,0,6,0,0,5,343,336.6,358.3,49.0,74.4,58,98,27,183,22,0.33,2.31,2.64,28.16,,,,,,,[],,220,90,110,77,347,179,220,107,0.02,0.0,0.11,0.13,1.33,1.32,241,146,716,298,296,123,329,112,1.04,0.28,8.62
125,Janelt,Vitaly,Janelt,BRE,MID,3,True,False,100,100,204580,0,0,-1,1,0,1,0.3,0.5,1,1.0,False,,2026-02-28T22:00:07.860819Z,49,204580.jpg,3.0,False,0.1,False,,a,5,94,74,67811,0,59682,0,0.2,15.1,,80,2020-10-03,1998-05-10,False,p204580,1434,1,4,5,21,0,0,0,8,0,0,6,334,350.4,351.8,97.0,79.0,71,85,27,183,15,0.82,2.27,3.09,26.62,2,,,,,,[],,209,82,114,80,290,154,208,98,0.05,0.0,0.14,0.19,1.67,1.32,298,185,228,96,196,75,494,176,0.94,0.31,11.49
126,Jensen,Mathias,Jensen,BRE,MID,3,True,False,,,207283,0,0,-1,1,0,0,4.3,1.5,2,2.0,False,,,49,207283.jpg,2.7,False,0.1,False,,a,5,94,98,33274,0,27550,0,0.4,20.0,,58,2019-07-10,1996-01-01,False,p207283,2239,3,2,9,33,0,0,0,3,0,0,1,465,435.6,632.7,201.0,126.9,62,118,40,220,26,2.21,6.06,8.27,35.72,1,,2,,5,,[],,162,59,33,30,185,99,88,54,0.09,0.0,0.24,0.33,1.44,1.33,301,187,138,56,242,95,423,145,1.05,0.36,8.84
127,Nunes,Gustavo,Nunes Fernandes Gomes,BRE,MID,3,True,False,0,0,626464,0,0,-1,1,0,0,0.0,0.0,0,0.0,False,has joined Swansea City on loan for the rest of the season.,2026-01-23T16:43:23.380280Z,49,626464.jpg,0.0,False,0.0,False,,u,5,94,0,1544,0,2374,0,0.0,0.0,,30,2024-08-28,2005-11-20,False,p626464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,802,351,798,351,795,350,802,351,0,0,0,0,0,0,339,211,711,294,802,351,733,306,0,0,0
128,Onyeka,Frank,Onyeka,BRE,MID,3,True,False,0,0,428580,0,0,-2,2,0,0,0.0,0.0,0,0.0,False,has joined Coventry City on loan for the rest of the season.,2026-02-02T23:18:34.199775Z,48,428580.jpg,2.0,False,0.0,False,,u,5,94,12,5396,0,9001,0,0.0,2.5,,157,2021-07-20,1998-01-01,False,p428580,88,0,2,0,2,0,0,0,0,0,0,0,41,28.4,13.6,4.0,4.6,3,5,2,10,0,0.00,0.36,0.36,2.02,,,,,,,[],,454,202,427,209,448,219,468,208,0.0,0.0,0.37,0.37,2.07,2.05,360,223,673,267,351,150,615,234,0.0,0.0,10.23
129,Yarmoliuk,Yehor,Yarmoliuk,BRE,MID,3,True,False,100,100,508395,0,0,0,0,0,0,3.7,-0.5,0,0.0,False,,2025-10-25T23:00:07.803030Z,50,508395.jpg,2.8,False,0.1,False,,a,5,94,104,27701,0,24796,0,0.0,20.8,,225,2022-10-28,2004-03-01,False,p508395,2652,1,3,8,42,0,0,0,7,0,0,1,448,445.0,273.0,117.0,83.4,83,186,69,338,30,1.22,1.39,2.61,40.31,,,,,,,[],,154,54,158,104,268,145,195,93,0.04,0.0,0.05,0.09,1.37,1.43,272,166,730,308,225,87,476,167,1.02,0.27,11.47
